"AC ID","Title","Module","Priority","Status","Given","When","Then","QA Notes","Linked UAT","Cross-refs"
"CC-001","User login and session","Cross-Cutting","Critical","Not Started","A user with valid credentials","They log in via the Filament admin panel","They are authenticated and redirected to their role-appropriate dashboard","Fortify auth routes respond correctly; invalid credentials show error; session persists across requests; 2FA enforced for roles that require it","UAT-009",""
"CC-002","Unauthorised access denied","Cross-Cutting","Critical","Not Started","An unauthenticated user","They attempt to access any protected route","They are redirected to the login page","All Filament resource routes return 403 for unauthenticated users; no data leaks in redirect responses","UAT-009",""
"CC-003","Team tenancy data isolation","Cross-Cutting","Critical","Not Started","Two separate teams (tenants) with their own records","A user in Team A views any list or record","They see only Team A's data - no records from Team B are visible","Global scope on all tenant-scoped models filters by team_id; direct URL access returns 403 or 404","UAT-010",""
"CC-004","Role-based permission enforcement","Cross-Cutting","Critical","Not Started","A user assigned role frontline","They attempt to delete an enquiry","The action is denied (no delete permission for FL role)","Spatie Shield permissions checked via policies; Filament actions hidden/disabled for unauthorised roles; EnquiryPolicy::delete() returns false for FL role","UAT-009",""
"CC-005","Audit trail on all create/update/delete","Cross-Cutting","Critical","Not Started","Any authenticated user performing a data-changing action","They create update or delete a record","An activity log entry is created with user_id action subject_type subject_id properties and timestamp","activity_log table receives entries for all CRUD operations; properties contain changed attributes","",""
"CC-006","Soft delete and restore","Cross-Cutting","Important","Not Started","A record with soft-delete support","A user with delete permission deletes the record","The record is soft-deleted (deleted_at set) and restorable by users with restore permission","deleted_at column is set; record no longer appears in default lists; restore action available to MG/AD roles; forceDelete available only to AD","",""
"CC-007","Record locking prevents accidental edits","Cross-Cutting","Important","Not Started","A service user record where is_locked = true","A non-management non-admin user attempts to edit the record","The edit action is denied","PeoplePolicy::update() returns false when is_locked = true for FL/AS/CO/AC roles; MG/AD can still edit","",""
"EQ-001","Create enquiry with all required fields","Enquiries","Critical","Not Started","A frontline worker (FL) is logged in","They submit a new enquiry with category caller details reason for contact and action taken","The enquiry is saved with status Open and appears in the enquiry list","Enquiry::create() succeeds; status defaults to open; all required fields validated (category people_id or caller name reason_for_contact action_taken user_id occurred_at); Filament form validation rejects missing required fields","UAT-001",""
"EQ-002","Enquiry category selection","Enquiries","Critical","Not Started","A user creating an enquiry","They select a category from the dropdown","The following categories are available: Family Advice Help for Self School/Madrassa Donation Offer Food Bank Referral Domestic Issues Mental Health Support General Community Support","EnquiryCategory enum values match; Filament select field renders all 8 options with correct labels colors and icons","",""
"EQ-003","Enquiry risk and safeguarding flags","Enquiries","Critical","Not Started","A frontline worker creating or editing an enquiry","They set safeguarding flags or risk flags","The flags are stored and visually highlighted on the enquiry record","safeguarding_flags (boolean) and risk_flags (text) are saved; Filament renders safeguarding flag with warning/danger indicator; only SG and AD roles see restricted risk details","UAT-002",""
"EQ-004","Enquiry referral tracking","Enquiries","Important","Not Started","An enquiry with a referral","The referral type is set to internal or external","The referral destination field is displayed and the referral details are stored","ReferralType enum accepts internal and external; referral_destination is conditionally required when referral_type is set; referral details stored on enquiry record","",""
"EQ-005","Convert enquiry to service user","Enquiries","Critical","Not Started","An open enquiry","A user with ConvertToServiceUser:Enquiry permission clicks Promote to Service User","A new People record with is_service_user = true and a ServiceUserProfile are created; the enquiry status changes to Converted; the original enquiry links to the new service user","ConvertToServiceUser action creates People with is_service_user = true; creates ServiceUserProfile linked to the new People; sets enquiry.status = converted and enquiry.converted_at; links enquiry to service user; audit log entry created","UAT-005",""
"EQ-006","Enquiry status lifecycle","Enquiries","Critical","Not Started","An enquiry with status Open","It is not converted to a service user","It can be closed with a reason; status transitions are: Open to Converted; Open to Closed","EnquiryStatus enum allows open converted closed; status can be changed manually to Closed; status cannot be changed back from Converted or Closed by FL/AS/CO roles","",""
"EQ-007","Enquiry search and filtering","Enquiries","Important","Not Started","A list of enquiries","A user searches by category status date range or caller name","The list is filtered to show matching enquiries only","Filament table search and filter work for category status occurred_at (date range) and related People name; results are scoped to the current team","",""
"EQ-008","Enquiry permissions by role","Enquiries","Critical","Not Started","Various roles performing enquiry actions","Each role attempts CRUD operations","Permissions enforced per role matrix (FL: Create/View/Update; AS: View/Convert; CO: View; SG: View/Convert; MG: View; AD: All)","Policy checks for each role; Filament hides/shows actions per role; direct HTTP requests return 403 for unauthorised actions","UAT-009",""
"SU-001","Create service user from enquiry conversion","Service Users","Critical","Not Started","An open enquiry (see EQ-005)","The conversion action completes","A People record is created with is_service_user = true and a ServiceUserProfile is created with all enquiry data transferred","People record has is_service_user = true; ServiceUserProfile linked with person_id; service user accessible via ServiceUserResource; default engagement_status = pending","UAT-005",""
"SU-002","Create service user directly","Service Users","Critical","Not Started","A user with Create:ServiceUser permission","They create a new service user with required fields (name date of birth target service team)","A People record with is_service_user = true and linked ServiceUserProfile are created","Direct creation via ServiceUserResource; is_service_user set to true; ServiceUserProfile auto-created; required fields validated","",""
"SU-003","Service user profile fields","Service Users","Critical","Not Started","An existing service user","Viewing their case file","The following profile sections are visible: Personal details Contact information Emergency contact Substance use details GP registration Engagement Consent","All fields from ServiceUserProfile and People models render in the case file view; enum fields display labels not values","UAT-003",""
"SU-004","Service team assignment","Service Users","Critical","Not Started","A service user profile","The target service team is set","The assignment is one of: Assessment Drug & Alcohol Spiritual Education & Outreach Aftercare","ServiceTeam enum values are the only valid options; assignment determines which counselor types can access the record","",""
"SU-005","Engagement status lifecycle","Service Users","Important","Not Started","A service user with engagement status Pending","Their engagement changes","Status can transition through: Pending to Active to Inactive to Discharged","EngagementStatus enum allows all four states; status changes are audit-logged; status transitions visible in case file timeline","",""
"SU-006","Consent tracking","Service Users","Critical","Not Started","A service user record","Consent fields are set (data storage referrals communications)","Each consent field is a boolean that is explicitly captured and visible on the profile","consent_data_storage consent_referrals consent_communications are boolean fields; default to false; must be explicitly set; displayed as checkboxes/toggles in Filament form","UAT-003",""
"SU-007","Service user permissions by role","Service Users","Critical","Not Started","Various roles performing service user actions","Each role attempts CRUD operations","Permissions enforced per role matrix (FL: View limited; AS: Create/View/Update assigned; CO: Create/View/Update assigned; SG: Create/View/Update all; MG: View all; AD: All)","ServiceUserPolicy enforces role-based access; assigned means service user's target_service_team matches user's counselor_types or department","UAT-003",""
